year,name,price,brand
2016,Nike Hyperdunk 2016 Flyknit,200,nike
2016,Nike Free RN ULTD,100,nike
2016,Nike Air Zoom Pegasus 33 ULTD,110,nike
2016,Nike Metcon 2,130,nike
2016,Nike Free Train Force Flyknit,150,nike
2016,Nike Air Max 1 Premium iD,175,nike
2016,Nike Air Force 1 Low Premium iD,165,nike
2016,Nike Air Max 90 Premium iD,175,nike
2016,Nike Air Force 1 Mid Premium iD,170,nike
2016,Nike LunarEpic Flyknit ULTD,175,nike
2016,Nike Free RN Motion Flyknit ULTD,150,nike
2016,Nike LunarGlide 8 ULTD,120,nike
2016,Nike Train Ultrafast Flyknit,150,nike
2016,Nike Zoom KD 9 iD,195,nike
2016,Nike Hyperdunk 2016 iD,180,nike
2016,Nike LunarEpic Low Flyknit iD,200,nike
2016,Nike Roshe Flyknit iD,160,nike
2016,Nike Lunar Caldra,120,nike
2016,Nike Train Quick,140,nike
2016,Nike Air Zoom All Out Flyknit ULTD,200,nike
2016,Nike Magista Obra II SG-PRO,310,nike
2016,Nike Roshe One iD,115,nike
2016,Nike Air Presto iD,160,nike
2016,Nike Free RN iD,140,nike
2016,Nike Flyknit Air Max iD,265,nike
2016,Nike Air Max 1 Ultra Flyknit,160,nike
2016,Nike Hyperdunk 08,150,nike
2016,Nike Flyknit Elite,270,nike
2016,NikeCourt Air Zoom Ultrafly,220,nike
2016,NikeCourt Zoom Vapor 9.5 Tour,140,nike
2016,Nike Roshe Flyknit,120,nike
2016,Nike Air Presto Ultra Flyknit,160,nike
2016,Nike Air Force 1 Low Ultra Flyknit,170,nike
2016,Nike Air Zoom Pegasus 92,120,nike
2016,Kyrie 2,120,nike
2016,Kobe XI Elite,200,nike
2016,LeBron XIII Low,150,nike
2016,Nike LunarEpic Low Flyknit,160,nike
2016,Nike LunarEpic Flyknit,175,nike
2016,Nike LunarGlide 8,120,nike
2016,Nike Air Zoom Pegasus 33,110,nike
2016,Kobe XI Elite iD,245,nike
2016,Nike Zoom LeBron Soldier 10 SFG,140,nike
2016,Air Jordan 1 KO High OG,140,nike
2016,Air Jordan I Retro High,140,nike
2016,AJ Trainer 1,140,nike
2016,Jordan Super.Fly 5,140,nike
2016,Kobe XI Elite iD,245,nike
2016,Nike Air Presto iD,160,nike
2016,Nike Air Max 90 iD,150,nike
2016,Nike Air Max 90 HYP Premium iD,165,nike
2016,Nike Metcon 2 AMP-X,140,nike
2016,Nike Metcon 2 Amplify,140,nike
2016,Nike Hyperdunk 2016,140,nike
2016,Converse Auckland Modern,110,nike
2016,Converse Auckland Modern,110,nike
2016,Converse Chuck Taylor All Star II High Top,80,nike
2017,Nike Air Foamposite Pro,230,nike
2017,Air Jordan Retro 8,190,nike
2017,Nike Lunar Force 1 Duckboot '17,170,nike
2017,Nike Lunar Force 1 Duckboot Low,140,nike
2017,Nike Metcon 3,130,nike
2017,Nike Metcon DSX Flyknit,160,nike
2017,Kyrie 3,120,nike
2017,Kobe A.D.,160,nike
2017,Nike Free RN Flyknit 2017,120,nike
2017,Nike Air Zoom Pegasus 34,110,nike
2017,Nike SF Air Force 1 Mid,160,nike
2017,Nike Air Force 1 '07 QS,130,nike
2017,Nike Air Force 1 '07,90,nike
2017,Nike Air Zoom Mariah Flyknit Racer,150,nike
2017,Nike Air Max 2017,190,nike
2017,Nike LunarEpic Low Flyknit 2,134.97,nike
2017,Kobe A.D. iD,180,nike
2017,Kyrie 3 iD,140,nike
2017,LeBron Soldier XI iD,150,nike
2017,Nike Air Huarache,110,nike
2017,Nike Roshe One,75,nike
2017,Air Jordan 5 Retro,190,nike
2017,Jordan Super.Fly 2017,140,nike
2017,Nike React Hyperdunk 2017 Flyknit,160,nike
2017,Nike React Hyperdunk 2017 Low,114.97,nike
2017,Nike Zoom KDX,134.97,nike
2017,PG1,110,nike
2017,LeBron Soldier XI,140,nike
2017,Nike Air Presto Essential,120,nike
2017,Nike Air Force 1 High '07,100,nike
2017,Air Jordan 1 Retro High OG,160,nike
2017,Nike Free RN Commuter 2017,110,nike
2017,Nike SB Stefan Janoski Max,110,nike
2017,Converse Chuck Taylor All Star High Top,55,nike
2017,Converse Chuck Taylor All Star Low Top,50,nike
2017,Converse One Star Classic Suede Low Top,85,nike
2017,Converse Custom One Star Suede,100,nike
2017,Converse Custom One Star Suede,100,nike
2017,Converse Custom One Star Suede,100,nike
2017,Nike Alpha Menace Elite,200,nike
2017,Nike Vapor Untouchable Pro,95.97,nike
2017,Nike Mercurial Superfly V FG,300,nike
2017,Nike Tiempo Legend VII FG,230,nike
2017,Hurley Phantom Free Elite,80,nike
2017,Hurley Phantom Free Motion,70,nike
2017,Nike Dualtone Racer,74.97,nike
2017,Nike Duel Racer,99.97,nike
2017,Nike SB Zoom Stefan Janoski Canvas,85,nike
2017,Nike SB Dunk Low Pro,90,nike
2017,Nike SB Air Max Bruin Vapor,89.97,nike
2017,Nike Free Trainer V7,74.97,nike
2017,Nike Free Train Virtue,120,nike
2017,Nike Benassi Solarsoft 2,35,nike
2017,Nike Roshe One Essential iD,95,nike
2017,Converse Chuck Taylor All Star Low Top,50,nike
2017,Converse Chuck Taylor Monochrome High Top,55,nike
2017,Air Jordan Retro 8,190,nike
2017,Converse Chuck Taylor All Star Seasonal Low Top,50,nike
2017,Converse Chuck Taylor All Star Seasonal High Top,55,nike
2017,Converse Chuck Taylor Monochrome Low Top,50,nike
2018,LeBron 16,185,nike
