name,price
Nike Air Max 2090,150
Nike Air Max 2090,170
Air Jordan 4 Retro SE,225
Air Jordan 3 Retro SE,200
Air Jordan 1 Low,90
Air Jordan 1 Mid,115
Nike Air VaporMax Plus (Chicago),200
Nike Air Max 90,120
LeBron 17 Low,160
LeBron 17,200
Nike SuperRep Go,100
Nike Air Zoom SuperRep,120
Nike React Infinity Run Flyknit,160
Nike Zoom Pegasus Turbo 2,180
Nike Air Force 1 '07,90
Nike Air Force 1 Type-2,140
Nike Air Force 1 '07,90
Kyrie 6,130
PG 4,110
Zoom Freak 1,120
