name,price
NIKE LUNARGLIDE+ 4 ,145
NIKE FREE RUN 3 HYBRID ,130
JORDAN SPIZIKE ,210
"NIKE HYPERDUNK+ iD SPORT PACK
",290
"NIKE LUNARGLIDE+ 4
",110
"NIKE LUNARGLIDE+ 4 PREMIUM
",120
"NIKE FREE RUN+ 3
",100
"NIKE AIR MAX+ 2012
",170
"NIKE HYPERDUNK+ SPORT PACK
",250
"NIKE HYPERDUNK
",140
"LEBRON 9 PS ELITE
",250
"NIKE ZOOM KOBE VII SYSTEM ELITE
",200
"NIKE ROSHE RUN
",70
"NIKE AIR FORCE 1 07
",90
"NIKE AIR MAX 90
",100
"NIKE DUNK HIGH
",85
"NIKE LUNARTR1+ SPORT PACK
",235
"NIKE LUNARTR1
",120
"NIKE FREE TR3 5.0
",90
"NIKE FREE HAVEN 3.0
",100
"NIKE VAPOR TALON ELITE LOW TD
",140
"NIKE ALPHA SPEED
",90
"NIKE VAPOR PRO THREE-QUARTER TD
",95
"NIKE VAPOR TALON ELITE THREE-QUARTER TD
",150
"NIKE MERCURIAL VAPOR VIII
",220
"NIKE CTR360 MAESTRI II
",190
"NIKE TIEMPO LEGEND IV
",160
"NIKE T90 LASER IV KL
",220
"NIKE MAVRK MID 3
",85
"NIKE ZOOM PAUL RODRIGUEZ 2.5
",78
"NIKE 6.0 BRAATA LR PREMIUM MID
",85
"NIKE 6.0 MAVRK CANVAS
",65
