name,price
Nike Free 3.0 Flyknit,140
Nike Free 4.0 Flyknit,120
Nike Free 4.0 Flyknit iD,160
Nike Free 4.0 iD,140
Nike Free 5.0,100
Nike Free 5.0 iD,140
Nike Free Trainer 5.0 V6,100
Nike Free Trainer 5.0 V6 iD,140
Kobe X,180
Kobe X iD,225
Kyrie 1,110
Kyrie 1 iD,155
KD7,150
KD7 iD,195
LeBron 12,200
LeBron 12 iD,245
Nike Flyknit Lunar 3,150
Nike Flyknit Lunar 3 iD,190
Nike SB Stefan Janoski Max L,110
Nike SB Stefan Janoski Max iD,150
Nike Air Max 90 Essential,110
Nike Air Max 1 Essential,110
Nike Air Max Lunar90,140
Nike Air Max 90 iD,150
Nike Air Max 1 Ultra Moire,130
Nike Air Max 1 Ultra Moire iD,170
Nike Air Max 95,160
Nike Air Max 93,125
Nike Metcon 1,120
Nike Zoom Speed Trainer 2,90
Nike Free Trainer 3.0 V3,110
Nike Lunar Trainer 1,110
Jordan Dub Zero,160
Jordan Flight Runner 2,120
Jordan Super.Fly 3,140
Jordan FLIGHTFLEX,100
Nike Roshe One,75
Nike Air Huarache Run iD,140
Nike Air Max 1 Leather PA,140
Nike Air Force 1 07 LV8,100
Nike Mercurial Superfly FG CR7,300
Nike Mercurial Superfly CR AG-R,305
Nike Magista Obra FG,275
Nike LunarTempo,110
Nike Air Zoom Elite 7,110
Nike LunarGlide 6 iD,145
Nike LunarGlide 6,110
Nike TW '15,200
Nike Lunar Control 3,170
Nike Lunar Control 3 iD,210
Nike Lunar Clayton,250
Jordan Illusion,105
Jordan Melo 11,160
Nike Zoom Cage 2,120
Nike Zoom Vapor 9 Tour iD,165
Nike Air Zoom Structure 18,120
Nike Air Zoom Structure 18 iD,155
Nike Air Zoom Pegasus 31,100
Nike Air Zoom Pegasus 31 iD,135
Nike Flyknit Trainer Chukka SFB,200
