year,name,price
2013,Nike Air Max+ 2013,180
2013,Nike Air Max+ 2013 iD,220
2013,LeBron X,180
2013,LeBron X iD,230
2013,Nike Flyknit Lunar1+,160
2013,Nike Flyknit Lunar1+ iD,200
2013,Nike Flyknit Lunar1+ iD,200
2013,Nike Free 5.0+,100
2013,Nike Free 5.0+ iD,135
2013,Nike Air Max+ 2013,180
2013,Nike Air Max+ 2013 iD,220
2013,Nike Free 5.0+,100
2013,Nike Free 5.0+ iD,135
2013,Nike Dri-FIT Flat-Front Tech,80
2013,Nike Free Trainer 5.0,95
2013,Nike Free Trainer 5.0 iD,135
2013,Nike CTR360 Maestri III FG,200
2013,Nike Tiempo Legend IV FG,160
2013,Nike Tiempo Legend IV iD,190
2013,Nike Air Force 1 07,90
2013,Nike Air Force 1 Low Premium iD,190
2013,Nike Zoom Vapor 9 Tour,130
2013,Nike Zoom Vapor 9 Tour iD Grass,165
2013,Nike Zoom Vapor 9 Tour iD Hard Court,165
2013,Nike Zoom Vapor 9 Tour iD Clay,165
2013,Nike Studio Wrap Pack,110
2013,Nike Air Max Courtballistec 4.3,130
2013,Nike Air Max LeBron X Low,165
2013,Nike Zoom Courtlite 3,80
2013,Nike Free Trainer 7.0,110
2013,Nike Free 3.0,110
2013,Nike Free 3.0 iD,135
2013,Nike Free 3.0 iD,135
2013,Jordan Spizike iD,210
2013,Nike Flyknit Lunar1+,160
2013,Nike Flyknit Lunar1+ iD,200
2013,Nike Flyknit Lunar1+ iD,200
2013,Nike LunarGlide+ 4,110
2013,Nike Mercurial Vapor IX FG,225
2013,Nike Mercurial Vapor IX FG iD,265
2013,Nike City Court VII,60
2013,Nike Air Max+ 2013 Premium,190
2013,Nike Free Trainer 3.0,110
2013,Nike Lunar Hyperdunk 2012,140
2013,Nike Hyperdunk iD,180
2013,Nike LunarEclipse+ 3,135
2013,LeBron X PS Elite,260
2013,LeBron X PS Elite,260
2013,LeBron X PS Elite,260
2013,LeBron X P.S. Elite iD,310
2013,Nike Dunk Sky Hi Print,120
2013,KD V Elite,180
2013,Nike LunarGlide+ 4,110
