year,name,price
2015,Nike Free 3.0 Flyknit,140
2015,Nike Free 4.0 Flyknit,120
2015,Nike Free 4.0 Flyknit iD,160
2015,Nike Free 4.0 iD,140
2015,Nike Free 5.0,100
2015,Nike Free 5.0 iD,140
2015,Nike Free Trainer 5.0 V6,100
2015,Nike Free Trainer 5.0 V6 iD,140
2015,Kobe X,180
2015,Kobe X iD,225
2015,Kyrie 1,110
2015,Kyrie 1 iD,155
2015,KD7,150
2015,KD7 iD,195
2015,LeBron 12,200
2015,LeBron 12 iD,245
2015,Nike Flyknit Lunar 3,150
2015,Nike Flyknit Lunar 3 iD,190
2015,Nike SB Stefan Janoski Max L,110
2015,Nike SB Stefan Janoski Max iD,150
2015,Nike Air Max 90 Essential,110
2015,Nike Air Max 1 Essential,110
2015,Nike Air Max Lunar90,140
2015,Nike Air Max 90 iD,150
2015,Nike Air Max 1 Ultra Moire,130
2015,Nike Air Max 1 Ultra Moire iD,170
2015,Nike Air Max 95,160
2015,Nike Air Max 93,125
2015,Nike Metcon 1,120
2015,Nike Zoom Speed Trainer 2,90
2015,Nike Free Trainer 3.0 V3,110
2015,Nike Lunar Trainer 1,110
2015,Jordan Dub Zero,160
2015,Jordan Flight Runner 2,120
2015,Jordan Super.Fly 3,140
2015,Jordan FLIGHTFLEX,100
2015,Nike Roshe One,75
2015,Nike Air Huarache Run iD,140
2015,Nike Air Max 1 Leather PA,140
2015,Nike Air Force 1 07 LV8,100
2015,Nike Mercurial Superfly FG CR7,300
2015,Nike Mercurial Superfly CR AG-R,305
2015,Nike Magista Obra FG,275
2015,Nike LunarTempo,110
2015,Nike Air Zoom Elite 7,110
2015,Nike LunarGlide 6 iD,145
2015,Nike LunarGlide 6,110
2015,Nike TW '15,200
2015,Nike Lunar Control 3,170
2015,Nike Lunar Control 3 iD,210
2015,Nike Lunar Clayton,250
2015,Jordan Illusion,105
2015,Jordan Melo 11,160
2015,Nike Zoom Cage 2,120
2015,Nike Zoom Vapor 9 Tour iD,165
2015,Nike Air Zoom Structure 18,120
2015,Nike Air Zoom Structure 18 iD,155
2015,Nike Air Zoom Pegasus 31,100
2015,Nike Air Zoom Pegasus 31 iD,135
2015,Nike Flyknit Trainer Chukka SFB,200
