year,name,price
2016,Nike LunarEpic Low Flyknit ULTD,160
2016,Nike Free RN Flyknit ULTD,130
2016,Nike Zoom KD 9,150
2016,Nike Hyperdunk 2016 Flyknit,200
2016,Nike Free RN ULTD,100
2016,Nike Air Zoom Pegasus 33 ULTD,110
2016,Nike Metcon 2,130
2016,Nike Free Train Force Flyknit,150
2016,Nike Air Max 1 Premium iD,175
2016,Nike Air Force 1 Low Premium iD,165
2016,Nike Air Max 90 Premium iD,175
2016,Nike Air Force 1 Mid Premium iD,170
2016,Nike LunarEpic Flyknit ULTD,175
2016,Nike Free RN Motion Flyknit ULTD,150
2016,Nike LunarGlide 8 ULTD,120
2016,Nike Train Ultrafast Flyknit,150
2016,Nike Zoom KD 9 iD,195
2016,Nike Hyperdunk 2016 iD,180
2016,Nike LunarEpic Low Flyknit iD,200
2016,Nike Roshe Flyknit iD,160
2016,Nike Lunar Caldra,120
2016,Nike Train Quick,140
2016,Nike Air Zoom All Out Flyknit ULTD,200
2016,Nike Magista Obra II SG-PRO,310
2016,Nike Roshe One iD,115
2016,Nike Air Presto iD,160
2016,Nike Free RN iD,140
2016,Nike Flyknit Air Max iD,265
2016,Nike Air Max 1 Ultra Flyknit,160
2016,Nike Hyperdunk 08,150
2016,Nike Flyknit Elite,270
2016,NikeCourt Air Zoom Ultrafly,220
2016,NikeCourt Zoom Vapor 9.5 Tour,140
2016,Nike Roshe Flyknit,120
2016,Nike Air Presto Ultra Flyknit,160
2016,Nike Air Force 1 Low Ultra Flyknit,170
2016,Nike Air Zoom Pegasus 92,120
2016,Kyrie 2,120
2016,Kobe XI Elite,200
2016,LeBron XIII Low,150
2016,Nike LunarEpic Low Flyknit,160
2016,Nike LunarEpic Flyknit,175
2016,Nike LunarGlide 8,120
2016,Nike Air Zoom Pegasus 33,110
2016,Kobe XI Elite iD,245
2016,Nike Zoom LeBron Soldier 10 SFG,140
2016,Air Jordan 1 KO High OG,140
2016,Air Jordan I Retro High,140
2016,AJ Trainer 1,140
2016,Jordan Super.Fly 5,140
2016,Kobe XI Elite iD,245
2016,Nike Air Presto iD,160
2016,Nike Air Max 90 iD,150
2016,Nike Air Max 90 HYP Premium iD,165
2016,Nike Metcon 2 AMP-X,140
2016,Nike Metcon 2 Amplify,140
2016,Nike Hyperdunk 2016,140
2016,Converse Auckland Modern,110
2016,Converse Auckland Modern,110
2016,Converse Chuck Taylor All Star II High Top,80
