year,name,price
2012,NIKE LUNARGLIDE+ 4 ,145
2012,NIKE FREE RUN 3 HYBRID ,130
2012,JORDAN SPIZIKE ,210
2012,"NIKE HYPERDUNK+ iD SPORT PACK
",290
2012,"NIKE LUNARGLIDE+ 4
",110
2012,"NIKE LUNARGLIDE+ 4 PREMIUM
",120
2012,"NIKE FREE RUN+ 3
",100
2012,"NIKE AIR MAX+ 2012
",170
2012,"NIKE HYPERDUNK+ SPORT PACK
",250
2012,"NIKE HYPERDUNK
",140
2012,"LEBRON 9 PS ELITE
",250
2012,"NIKE ZOOM KOBE VII SYSTEM ELITE
",200
2012,"NIKE ROSHE RUN
",70
2012,"NIKE AIR FORCE 1 07
",90
2012,"NIKE AIR MAX 90
",100
2012,"NIKE DUNK HIGH
",85
2012,"NIKE LUNARTR1+ SPORT PACK
",235
2012,"NIKE LUNARTR1
",120
2012,"NIKE FREE TR3 5.0
",90
2012,"NIKE FREE HAVEN 3.0
",100
2012,"NIKE VAPOR TALON ELITE LOW TD
",140
2012,"NIKE ALPHA SPEED
",90
2012,"NIKE VAPOR PRO THREE-QUARTER TD
",95
2012,"NIKE VAPOR TALON ELITE THREE-QUARTER TD
",150
2012,"NIKE MERCURIAL VAPOR VIII
",220
2012,"NIKE CTR360 MAESTRI II
",190
2012,"NIKE TIEMPO LEGEND IV
",160
2012,"NIKE T90 LASER IV KL
",220
2012,"NIKE MAVRK MID 3
",85
2012,"NIKE ZOOM PAUL RODRIGUEZ 2.5
",78
2012,"NIKE 6.0 BRAATA LR PREMIUM MID
",85
2012,"NIKE 6.0 MAVRK CANVAS
",65
