year,name,price
2017,Nike Air Foamposite Pro,230
2017,Air Jordan Retro 8,190
2017,Nike Lunar Force 1 Duckboot '17,170
2017,Nike Lunar Force 1 Duckboot Low,140
2017,Nike Metcon 3,130
2017,Nike Metcon DSX Flyknit,160
2017,Kyrie 3,120
2017,Kobe A.D.,160
2017,Nike Free RN Flyknit 2017,120
2017,Nike Air Zoom Pegasus 34,110
2017,Nike SF Air Force 1 Mid,160
2017,Nike Air Force 1 '07 QS,130
2017,Nike Air Force 1 '07,90
2017,Nike Air Zoom Mariah Flyknit Racer,150
2017,Nike Air Max 2017,190
2017,Nike LunarEpic Low Flyknit 2,134.97
2017,Kobe A.D. iD,180
2017,Kyrie 3 iD,140
2017,LeBron Soldier XI iD,150
2017,Nike Air Huarache,110
2017,Nike Roshe One,75
2017,Air Jordan 5 Retro,190
2017,Jordan Super.Fly 2017,140
2017,Nike React Hyperdunk 2017 Flyknit,160
2017,Nike React Hyperdunk 2017 Low,114.97
2017,Nike Zoom KDX,134.97
2017,PG1,110
2017,LeBron Soldier XI,140
2017,Nike Air Presto Essential,120
2017,Nike Air Force 1 High '07,100
2017,Air Jordan 1 Retro High OG,160
2017,Nike Free RN Commuter 2017,110
2017,Nike SB Stefan Janoski Max,110
2017,Converse Chuck Taylor All Star High Top,55
2017,Converse Chuck Taylor All Star Low Top,50
2017,Converse One Star Classic Suede Low Top,85
2017,Converse Custom One Star Suede,100
2017,Converse Custom One Star Suede,100
2017,Converse Custom One Star Suede,100
2017,Nike Alpha Menace Elite,200
2017,Nike Vapor Untouchable Pro,95.97
2017,Nike Mercurial Superfly V FG,300
2017,Nike Tiempo Legend VII FG,230
2017,Hurley Phantom Free Elite,80
2017,Hurley Phantom Free Motion,70
2017,Nike Dualtone Racer,74.97
2017,Nike Duel Racer,99.97
2017,Nike SB Zoom Stefan Janoski Canvas,85
2017,Nike SB Dunk Low Pro,90
2017,Nike SB Air Max Bruin Vapor,89.97
2017,Nike Free Trainer V7,74.97
2017,Nike Free Train Virtue,120
2017,Nike Benassi Solarsoft 2,35
2017,Nike Roshe One Essential iD,95
2017,Converse Chuck Taylor All Star Low Top,50
2017,Converse Chuck Taylor Monochrome High Top,55
2017,Air Jordan Retro 8,190
2017,Converse Chuck Taylor All Star Seasonal Low Top,50
2017,Converse Chuck Taylor All Star Seasonal High Top,55
2017,Converse Chuck Taylor Monochrome Low Top,50
