year,name,price
2018,LeBron 16,185
2018,Nike Air Max 270 Bowfin,160
2018,Nike Air Max 270,150
2018,Nike Air Max 270 iD,170
2018,Nike Zoom Fly Flyknit,160
2018,Nike Zoom Pegasus Turbo,180
2018,Nike Epic React Flyknit,150
2018,Nike Epic React Flyknit iD,170
2018,Nike Air VaporMax Flyknit 2,190
2018,Nike Air VaporMax Flyknit 2 iD,240
2018,Nike Air Force 1 '07,90
2018,Nike Air Force 1 High 07,100
2018,Nike Air Max 97,160
2018,Nike Rise React Flyknit LMTD,175
2018,Air Jordan 5 Retro,190
2018,Air Jordan 18 Retro,225
2018,Air Jordan 12 Retro Premium,200
2018,Air Jordan 1 Retro High Double Strap,140
2018,Air Jordan 1 High Zip,150
2018,Air Jordan 1 Mid,110
2018,Nike Air Zoom Pegasus 35,120
2018,Nike Free x Metcon,120
2018,Nike Zoom KD11,150
2018,Nike Zoom KD11 iD,170
2018,Nike Air Max 95,180
2018,Nike Air VaporMax 95,190
2018,Nike Air Max 90 Essential,110
2018,Nike Air Force 1 '07 LV8 Utility,100
2018,Air Jordan 1 Retro High OG,160
2018,Air Jordan 1 Retro High Premium,145
2018,Nike Air VaporMax Premier Flyknit,225
2018,Nike Air VaporMax Flyknit Moc 2,200
2018,Nike Metcon 4,130
2018,Nike Metcon DSX Flyknit 2,150
2018,Nike Air Max Deluxe,180
2018,Nike Air Max Deluxe,200
2018,Nike Air Max 97 Ultra '17,160
2018,Nike Air Force 1 Low Retro QS,130
2018,Nike Air Force 1 '07 Suede,90
2018,Nike EXP-X14,83.97
2018,Nike EXP-X14 QS,140
2018,Nike Classic Cortez Nylon,70
2018,Nike Zoom Fly SP,119.97
2018,Nike Air VaporMax Plus,190
2018,Nike Air VaporMax 97,190
2018,Nike Air Max 270 Flyknit,170
2018,Nike Air Max 270 Premium,170
2018,Nike Free TR8 (Ohio State),110
2018,Nike Air Max Typha 2 (NFL Philadelphia),110
2018,Nike Air Force 1 '07 LV8 JDI LNTC,100
2018,Nike Air Max 1 Premium,120
2018,Air Jordan 10 Retro,190
2018,Nike Free RN Flyknit 2018,120
2018,Nike Free RN 2018,100
2018,Nike SB Nyjah,95
2018,Nike Air Huarache,110
2018,Nike Lunar Force 1 Duckboot Low Textile,140
2018,Nike SF Air Force 1,180
2018,Nike Vapor Untouchable 3 Pro,120
2018,Nike Vapor Untouchable Pro 3 iD,140
