year,name,price
2020,Nike Air Max 2090,150
2020,Nike Air Max 2090,170
2020,Air Jordan 4 Retro SE,225
2020,Air Jordan 3 Retro SE,200
2020,Air Jordan 1 Low,90
2020,Air Jordan 1 Mid,115
2020,Nike Air VaporMax Plus (Chicago),200
2020,Nike Air Max 90,120
2020,LeBron 17 Low,160
2020,LeBron 17,200
2020,Nike SuperRep Go,100
2020,Nike Air Zoom SuperRep,120
2020,Nike React Infinity Run Flyknit,160
2020,Nike Zoom Pegasus Turbo 2,180
2020,Nike Air Force 1 '07,90
2020,Nike Air Force 1 Type-2,140
2020,Nike Air Force 1 '07,90
2020,Kyrie 6,130
2020,PG 4,110
2020,Zoom Freak 1,120
